Internal_SKU,HEX,Hue_Degrees,Saturation_Value,Brightness_Value,Auto_Depth_Score
LC-GP-0001,#181818,0.0,0.0,9.4,9
LC-GP-0002,#F0F0F0,0.0,0.0,94.1,2
LC-GP-0003,#F8E8F0,330.0,6.5,97.3,1
LC-GP-0004,#F8E8E8,0.0,6.5,97.3,1
LC-GP-0005,#F0C8D8,336.0,16.7,94.1,2
LC-GP-0006,#E8C8D0,345.0,13.8,91.0,2
LC-GP-0007,#F8C0D8,334.3,22.6,97.3,1
LC-GP-0008,#F8C8D8,340.0,19.4,97.3,1
LC-GP-0009,#F8C0C8,351.4,22.6,97.3,1
LC-GP-0010,#F8C8D8,340.0,19.4,97.3,1
LC-GP-0011,#F8C0E8,317.1,22.6,97.3,1
LC-GP-0012,#F8E0F0,320.0,9.7,97.3,1
LC-GP-0013,#F8C8E0,330.0,19.4,97.3,1
LC-GP-0014,#F8B8C8,345.0,25.8,97.3,1
LC-GP-0015,#F8B0D0,333.3,29.0,97.3,1
LC-GP-0016,#F8B0C8,340.0,29.0,97.3,1
LC-GP-0017,#F8C8D0,350.0,19.4,97.3,1
LC-GP-0018,#F8D0C8,10.0,19.4,97.3,1
LC-GP-0019,#F8B0B0,0.0,29.0,97.3,1
LC-GP-0020,#F8C0C8,351.4,22.6,97.3,1
LC-GP-0021,#F0C0C8,350.0,20.0,94.1,2
LC-GP-0022,#F0B8C0,351.4,23.3,94.1,2
LC-GP-0023,#F8B0B8,353.3,29.0,97.3,1
LC-GP-0024,#F8C0B0,13.3,29.0,97.3,1
LC-GP-0025,#F8C0C8,351.4,22.6,97.3,1
LC-GP-0026,#F8C0C0,0.0,22.6,97.3,1
LC-GP-0027,#F8B0B8,353.3,29.0,97.3,1
LC-GP-0028,#E8B0B0,0.0,24.1,91.0,2
LC-GP-0029,#F8C0E0,325.7,22.6,97.3,1
LC-GP-0030,#E8A0C0,333.3,31.0,91.0,2
LC-GP-0031,#F0A0B8,342.0,33.3,94.1,2
LC-GP-0032,#F8A8C8,336.0,32.3,97.3,1
LC-GP-0033,#F8B8B8,0.0,25.8,97.3,1
LC-GP-0034,#E8B0B8,351.4,24.1,91.0,2
LC-GP-0035,#F8B0B8,353.3,29.0,97.3,1
LC-GP-0036,#F8A8B0,354.0,32.3,97.3,1
LC-GP-0037,#F8B8C0,352.5,25.8,97.3,1
LC-GP-0038,#F8A0B0,349.1,35.5,97.3,1
LC-GP-0039,#F0A0B8,342.0,33.3,94.1,2
LC-GP-0040,#F8A8C8,336.0,32.3,97.3,1
LC-GP-0041,#F8A0B8,343.6,35.5,97.3,1
LC-GP-0042,#F0A8B8,346.7,30.0,94.1,2
LC-GP-0043,#E898A8,348.0,34.5,91.0,2
LC-GP-0044,#E890A0,349.1,37.9,91.0,2
LC-GP-0045,#E898A8,348.0,34.5,91.0,2
LC-GP-0046,#E8A0C0,333.3,31.0,91.0,2
LC-GP-0047,#F090B8,335.0,40.0,94.1,2
LC-GP-0048,#E898B0,342.0,34.5,91.0,2
LC-GP-0049,#E0A8B8,342.9,25.0,87.8,2
LC-GP-0050,#D8A8B8,340.0,22.2,84.7,2
LC-GP-0051,#F0A8D0,326.7,30.0,94.1,2
LC-GP-0052,#F088B0,336.9,43.3,94.1,2
LC-GP-0053,#F888A8,342.9,45.2,97.3,1
LC-GP-0054,#F890B0,341.5,41.9,97.3,1
LC-GP-0055,#F090A8,345.0,40.0,94.1,2
LC-GP-0056,#F898A8,350.0,38.7,97.3,1
LC-GP-0057,#F898A8,350.0,38.7,97.3,1
LC-GP-0058,#F0A8B8,346.7,30.0,94.1,2
LC-GP-0059,#F8B0C0,346.7,29.0,97.3,1
LC-GP-0060,#F888A8,342.9,45.2,97.3,1
LC-GP-0061,#F8A8A8,0.0,32.3,97.3,1
LC-GP-0062,#F0A8A0,6.0,33.3,94.1,2
LC-GP-0063,#F09890,5.0,40.0,94.1,2
LC-GP-0064,#F09090,0.0,40.0,94.1,2
LC-GP-0065,#D88098,343.6,40.7,84.7,2
LC-GP-0066,#C06878,349.1,45.8,75.3,3
LC-GP-0067,#C06878,349.1,45.8,75.3,3
LC-GP-0068,#C87880,354.0,40.0,78.4,3
LC-GP-0069,#E88898,350.0,41.4,91.0,2
LC-GP-0070,#E87880,355.7,48.3,91.0,2
